provider_id,lat,lng
50549,34.2069857,-118.8831028
50551,33.8043758,-118.0671158
50557,37.6687592,-120.9737865
50573,33.739744,-116.41279
50599,38.5549383,-121.4567508
50603,33.6089013,-117.7087247
50625,34.075153,-118.3802766
50701,33.5589878,-117.1839316
50732,36.85992299999999,-119.788578
50757,32.7772425,-117.057335
50761,34.1703687,-118.5319132
50764,40.5855146,-122.3877763
60001,40.414806,-104.7089
60013,37.2361018,-107.8255618
60014,39.74704759999999,-104.9665169
60020,38.2818539,-104.6125748
60022,38.8393845,-104.7994262
60023,39.0904589,-108.5619004
60031,38.8655361,-104.8217503
60064,39.670102,-104.9748268
60100,39.6900823,-104.8323774
60119,40.4159268,-104.9970122
70001,41.3102538,-72.9431532
70002,41.7749634,-72.6984118
70010,41.18841279999999,-73.16662149999999
70012,41.8664853,-72.45103960000002
70016,41.5529483,-73.0368663
70017,41.5493063,-72.8011451
70018,41.034308,-73.630196
70020,41.55471,-72.64751300000002
70022,41.3045436,-72.9357954
70024,41.5430114,-72.0879807
70025,41.7541227,-72.6791793
70028,41.201187,-73.20165349999999
70033,41.4050857,-73.446289
70034,41.111322,-73.420307
70035,41.6610409,-72.7869415
80001,39.6878859,-75.668995
80004,39.1512959,-75.5236202
80007,38.7720274,-75.14388339999999
90001,38.9013368,-77.0507854
90004,38.9114532,-77.0752748
90011,38.92950039999999,-77.0144985
100002,26.5047937,-80.0704477
100006,28.5257624,-81.3773571
100007,28.5744699,-81.3695415
100012,26.6281446,-81.87421909999999
100017,29.2010424,-81.05440109999999
100018,26.1503471,-81.79874679999999
100019,28.0878329,-80.61431309999999
100023,28.8334017,-82.33596659999999
100025,30.4760103,-87.21294879999999
100026,30.1596644,-85.6486243
100028,28.6308071,-80.8240873
100034,25.8132946,-80.14013720000001
100035,27.4972631,-82.5621778
100038,26.0189172,-80.17972089999999
100040,30.307202,-81.689871
100044,27.1989708,-80.2435471
100046,28.26093,-82.1880149
100047,26.9409922,-82.040058
100049,27.4656878,-81.43297700000001
100052,28.0600916,-81.7021049
100057,28.823794,-81.714703
100062,29.1753878,-82.138785
100067,27.7786029,-82.650757
100068,29.240991,-81.06994619999999
100070,27.0905363,-82.4449121
100071,28.5385,-82.44303860000001
100072,28.914028,-81.284804
100073,26.1871437,-80.1199314
100075,27.9644011,-82.3634531
100077,26.9890508,-82.0955944
100084,28.8080948,-81.8683185
100087,27.3182559,-82.5311985
100088,30.3155312,-81.6635699
100090,29.8632208,-81.31736010000002
100092,28.335224,-80.72319499999999
100093,30.4294318,-87.2312805
100099,27.895852,-81.565518
100105,27.6585296,-80.3943307
100109,27.5391589,-81.50995929999999
100110,28.2996231,-81.40973249999999
100113,29.6388446,-82.3423789
100118,29.479328,-81.1892501
100127,27.9533536,-82.8042691
100128,27.9381581,-82.4590989
100131,25.96994,-80.14533
100135,30.4566811,-84.2616517
100151,30.2627915,-81.44134849999999
100154,25.7035412,-80.293897
100157,28.0606898,-81.9546908
100161,28.8146209,-81.28363519999999
100166,27.3019836,-82.4531662
100168,26.358767,-80.101737
